地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年
北京市,1.2,6.1,6.7,6.8,6.9,6.9,7.4,7.7,7.7,8.1,10.4,10,9,14.4,12.8,12.3,13.3,11.1,11.8,11.8
天津市,1.5,4.8,3.4,3.4,6,6.9,7.5,10.1,11.3,13.4,14.4,13.8,13.7,12.8,11.9,12.2,13.6,12.3,10.2,9.6
河北省,3.9,6.7,6.5,6.6,6.7,6.8,6.5,8.2,8.7,10.3,9.2,8.1,8,9.6,10.3,10.3,10,8.4,9.5,8.7
山西省,3.6,6.1,6.6,6.8,4.1,3,4.9,9,9.2,10,10.8,5.5,8.3,13.2,9.9,10.5,12.2,11.9,12.9,10.1
内蒙古自治区,0.2,5.2,5.2,4,7,7.7,7.8,8.7,10.7,13.6,14.1,16,16.5,18,18,19.6,16.7,16.3,13.2,10.7
辽宁省,0.6,5.4,5.6,4.2,0.5,2.8,5.7,8.7,8.9,10.2,10.3,10.4,10.7,12.9,11.5,10.5,10.4,8.9,10.2,9
吉林省,2.4,3,4.4,5.2,6.5,6.1,6.3,8.5,8.9,10.5,10.4,10.3,12,11.6,10.8,8.6,9,9.2,7,8.4
黑龙江省,1,4,4.5,6,4.4,5.4,5.3,7.6,8.7,10.9,11.7,10.1,10.3,9.8,10.4,10.6,10.4,9.8,9.9,8.9
上海市,1.7,6,6.8,7,6.9,7,7.1,7.9,7.5,8.3,10.2,8.4,9.7,15.2,12.8,11.5,13.3,12.3,11.4,10.5
江苏省,3.7,5.9,6.7,7.2,7.8,8.6,8.6,9.7,10.2,11,12.7,12.4,12.7,14.9,14.9,14.5,14.1,13.6,11.7,10.2
浙江省,3.6,6.8,7.1,7.8,7.5,8,7.7,8.3,8.1,9,11.9,9,10.1,14.5,14,12.9,13.1,14.7,12.7,10.7
安徽省,3.9,7.3,8,8.6,8.8,8.7,9.2,10.3,11.2,13.4,14.3,13.1,12.6,14.1,12.6,11,12.4,9.4,9.9,9.2
福建省,3.3,7.5,8.3,8.1,8.4,8.9,9.9,11,11.5,12.3,13.9,12.3,12.9,15.1,14.9,11.6,11.4,11.5,10.2,8.7
江西省,3.8,7.9,8.7,8.8,9,9.1,9.7,10.1,11,12.4,14,13.2,13.3,13.2,12.3,12.9,13.2,13,10.5,8.8
山东省,3.6,5.3,6.3,7.3,7.4,7.8,8.5,9.4,9.7,10.7,10.4,9.8,9.7,11.9,12.3,12.6,12.5,10.8,11,9.4
河南省,1.3,6.8,7.6,7.8,8.2,8.4,8.9,9,10.1,12,12.4,11,12,14.6,14.5,14.3,12.8,10.9,9.1,8.7
湖北省,-5,7.3,7.8,7.8,8.1,8.6,9.7,10.2,11.2,14.1,14.7,13.7,13.4,14.6,13.3,12.1,10.8,9.7,9.2,8.9
湖南省,3.8,7.6,7.8,8,8,8.5,9.5,10.1,11.4,12.8,14.6,13.9,14.1,15.1,12.8,12.2,11.1,9.6,9,9
广东省,2.3,6.2,6.8,7.5,7.5,8,7.8,8.5,8.3,10.2,12.5,9.9,10.5,15,14.9,14.2,13.2,14.8,12.4,10.5
广西壮族自治区,3.7,6,6.8,7.1,7,7.9,8.3,10,10.1,11.5,11.7,11.5,10.3,13,11.1,11.1,10.3,9.1,10.6,8.3
海南省,3.5,5.8,5.8,7,7.5,7.8,8.6,9.6,9.4,12.2,16,11.7,10.3,15.8,10.6,10.5,9.7,10.6,9.6,9.1
重庆市,3.9,6.3,6,9.3,10.7,11,10.9,12.3,13.6,16.4,17.2,15.1,14.6,16,12.5,11.8,12.5,11.7,10.5,9.2
四川省,3.8,7.4,8,8.1,7.8,7.9,8.5,10,11.7,15,15.1,14.5,11,14.5,13.5,12.7,11.9,11,10.5,9
贵州省,4.5,8.3,9.1,10.2,10.5,10.7,10.8,12.4,13,15.4,12.8,11.4,11.3,14.8,12.8,12.7,10.4,10.1,9.1,8.8
云南省,4,8.1,8.9,9.5,8.7,8.7,8.1,12.2,12,13.7,12.3,12.1,10.6,12.2,11.8,8.9,10.3,8.8,9,6.8
西藏自治区,7.8,8.1,8.9,10,10.1,11,10.8,12.1,11.8,12.7,12.3,12.4,10.1,14,13.3,12.1,12.1,12,12.9,12.7
陕西省,2.2,6,8.1,7.8,7.5,7.7,9.6,10.5,12.2,13.1,13.9,12.2,14.7,14.3,12.3,12.1,13,11.8,11.1,9.8
甘肃省,3.9,6.2,6.1,3.5,7.6,8.2,9,11.3,11.8,13.2,11.8,10.2,10.1,12.3,12,11.8,10.9,11.3,9.9,9.8
青海省,1.5,6.1,7.1,7.2,7.8,8.2,9.2,10.8,11.2,12.5,13.3,10.1,12.5,12.5,12.3,11.2,11.3,10.9,12.1,11.7
宁夏回族自治区,3.9,6.5,6.8,7.3,7.4,8,8,9.8,10.5,12.1,12.5,10.9,11.6,11.7,11.7,9.9,10.2,11.7,10.2,10.1
新疆维吾尔自治区,3.4,6.2,6.1,7.6,7.5,8.8,10,11,11,12.3,10.6,8.1,11,12.2,11,10.9,11.4,11.2,8.2,8.6
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,100,,,,,
