地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年
北京市,36102.6,35445.1,33106,29883,27041.2,24779.1,22926,21134.6,19024.7,17188.8,14964,12900.9,11813.1,10425.5,8387,7149.8,6252.5,5267.2,4525.7,3861.5
天津市,14083.7,14055.5,13362.9,12450.6,11477.2,10879.5,10640.6,9945.4,9043,8112.5,6830.8,5709.6,5182.4,4158.4,3538.2,3158.6,2621.1,2257.8,1926.9,1756.9
河北省,36206.9,34978.6,32494.6,30640.8,28474.1,26398.4,25208.9,24259.6,23077.5,21384.7,18003.6,15306.9,14200.1,12152.9,10043,8773.4,7588.6,6333.6,5518.9,5062.9
山西省,17651.9,16961.6,15958.1,14484.3,11946.4,11836.4,12094.7,11987.2,11683.1,10894.4,8903.9,7147.6,7223,5935.6,4713.6,4079.4,3496,2854.3,2324.8,2029.5
内蒙古自治区,17359.8,17212.5,16140.8,14898.1,13789.3,12949,12158.2,11392.4,10470.1,9458.1,8199.9,7104.2,6242.4,5166.9,4161.8,3523.7,2942.4,2388.4,1940.9,1713.8
辽宁省,25115,24855.3,23510.5,21693,20392.5,20210.3,20025.7,19208.8,17848.6,16354.9,13896.3,12815.7,12137.7,10292.2,8390.3,7260.8,6469.8,5906.3,5458.2,5033.1
吉林省,12311.3,11726.8,11253.8,10922,10427,10018,9966.5,9427.9,8678,7734.6,6410.5,5434.8,4834.7,4080.3,3226.5,2776.5,2455.2,2141,2043.1,1900.9
黑龙江省,13698.5,13544.4,12846.5,12313,11895,11690,12170.8,11849.1,11015.8,9935,8308.3,7218.9,7134.2,6126.3,5329.8,4756.4,4134.7,3609.7,3242.7,3043.4
上海市,38700.6,37987.6,36011.8,32925,29887,26887,25269.8,23204.1,21305.6,20009.7,17915.4,15742.4,14536.9,12878.7,10598.9,9197.1,8101.6,6804,5795,5257.7
江苏省,102719,98656.8,93207.6,85869.8,77350.9,71255.9,64830.5,59349.4,53701.9,48839.2,41383.9,34471.7,30945.5,25988.4,21240.8,18121.3,14823.1,12442.9,10606.9,9456.8
浙江省,64613.3,62462,58002.8,52403.1,47254,43507.7,40023.5,37334.6,34382.4,31854.8,27399.9,22833.7,21284.6,18640,15302.7,13028.3,11482.1,9753.4,8040.7,6927.7
安徽省,38680.6,36845.5,34010.9,29676.2,26307.7,23831.2,22519.7,20584,18341.7,16284.9,13249.8,10864.7,9517.7,7941.6,6500.3,5675.9,5129.1,4307.8,3827.7,3502.8
福建省,43903.9,42326.6,38687.8,33842.4,29609.4,26819.5,24942.1,22503.8,20190.7,17917.7,15002.5,12418.1,10931.8,9325.6,7468.6,6415.5,5712.1,4999.6,4467.6,4072.9
江西省,25691.5,24667.3,22716.5,20210.8,18388.6,16780.9,15667.8,14300.2,12807.7,11584.5,9383.2,7630,6934.2,5777.6,4696.8,3941.2,3398.1,2812.7,2450.5,2175.7
