年份,内蒙古自治区,广西壮族自治区,西藏自治区,宁夏回族自治区,新疆维吾尔自治区
2001年,1713.8,2279.3,139.2,337.4,1491.6
2002年,1940.9,2523.7,162,377.2,1612.6
2003年,2388.4,2798.2,186,442.6,1889.2
2004年,2942.4,3305.1,217.9,519.9,2170.4
2005年,3523.7,3742.1,243.1,579.9,2520.5
2006年,4161.8,4417.8,285.9,683.3,2957.3
2007年,5166.9,5474.8,344.1,877.6,3500
2008年,6242.4,6455.4,398.2,1139.2,4142.5
2009年,7104.2,7112.9,445.7,1266.7,4237
2010年,8199.9,8552.4,512.9,1571.7,5360.2
2011年,9458.1,10299.9,611.5,1931.8,6532
2012年,10470.1,11303.6,710.2,2131,7411.8
2013年,11392.4,12448.4,828.2,2327.7,8392.6
2014年,12158.2,13587.8,939.7,2473.9,9264.5
2015年,12949,14797.8,1043,2579.4,9306.9
2016年,13789.3,16116.6,1173,2781.4,9630.8
2017年,14898.1,17790.7,1349,3200.3,11159.9
2018年,16140.8,19627.8,1548.4,3510.2,12809.4
2019年,17212.5,21237.1,1697.8,3748.5,13597.1
2020年,17359.8,22156.7,1902.7,3920.6,13797.6
